filename,location,weather,time_of_day,emotion_label
"A_minaret_surrounded_by_lush_palm_trees_in_Luxor,_Egypt._19820480.jpg",Chennai,cloudy,afternoon,neutral
"A_breathtaking_view_of_Sugarloaf_Mountain_and_Guanabara_Bay_in_Rio_de_Janeiro,_Brazil._18105664.jpg",Chennai,rainy,afternoon,peaceful
A_serene_moment_of_a_woman_enjoying_the_view_by_a_medieval_castle_on_a_scenic_rocky_coastline._29632542.jpg,Chennai,cloudy,morning,neutral
Stunning_aerial_view_of_a_tropical_beach_with_waves_breaking_on_the_sandy_shore_in_Brazil._990121.jpg,Chennai,rainy,morning,peaceful
Stunning_aerial_view_of_a_secluded_beach_in_Seychelles_with_turquoise_waters_and_lush_greenery._12987464.jpg,Chennai,rainy,morning,peaceful
Scenic_view_of_a_lush_tropical_island_surrounded_by_boats_and_clear_blue_waters._2253816.jpg,Chennai,cloudy,morning,energetic
"Low_angle_view_of_palm_trees_with_a_bright_blue_sky,_capturing_a_tropical_summer_vibe._2333912.jpg",Chennai,sunny,afternoon,energetic
A_fashionable_man_in_a_white_blazer_and_hat_stands_in_a_wheat_field_under_a_vivid_sky._14544169.jpg,Chennai,sunny,evening,peaceful
Serene_tropical_poolside_scene_with_palm_trees_and_ocean_view_ideal_for_relaxation_and_leisure._261186.jpg,Chennai,sunny,afternoon,energetic
A_woman_in_a_bikini_posing_among_tropical_tree_roots_in_Sri_Lanka's_lush_landscape._319973.jpg,Chennai,sunny,morning,peaceful
Discover_a_serene_beach_house_nestled_among_palm_trees_in_a_tropical_Hawaiian_paradise._4608703.jpg,Chennai,cloudy,morning,peaceful
Three_women_having_a_fun_and_relaxed_picnic_under_a_tree_near_a_beach_on_a_sunny_day._4989362.jpg,Chennai,sunny,afternoon,peaceful
Woman_relaxing_in_a_hammock_holding_a_coconut_drink_on_a_tropical_beach._6405713.jpg,Chennai,rainy,morning,peaceful
"Captivating_aerial_view_of_Palhoça_beach_in_Brazil_showcasing_the_waves,_shoreline,_and_lush_greenery._13895386.jpg",Chennai,sunny,morning,peaceful
A_young_woman_with_a_backpack_stands_on_a_scenic_nature_path_overlooking_a_lake._214575.jpg,Chennai,cloudy,evening,peaceful
A_joyful_woman_in_a_brown_swimsuit_poses_by_rocks_and_plants_on_a_sunny_day._8760642.jpg,Chennai,cloudy,morning,energetic
Bungalow_surrounded_by_tropical_greenery_with_a_surfer_girl_holding_a_surfboard._5006536.jpg,Chennai,sunny,afternoon,energetic
Serene_view_of_palm-lined_coast_in_Zanzibar_with_clear_waters._5993608.jpg,Chennai,sunny,afternoon,energetic
"A_serene_tropical_beach_scene_with_palm_trees_and_gentle_ocean_waves,_perfect_for_vacation_inspiration._4318628.jpg",Chennai,cloudy,morning,peaceful
"A_stunning_aerial_view_of_a_coastal_road_in_Hawaii,_featuring_ocean_and_mountains._4321877.jpg",Chennai,cloudy,evening,energetic
"Breathtaking_view_of_rock_formations_and_ocean_waves_at_Praia_da_Ursa,_Portugal._10964538.jpg",Chennai,cloudy,afternoon,peaceful
"Scenic_view_of_lush_island_surrounded_by_clear_blue_sea_in_Ksamil,_Albania._188029.jpg",Chennai,rainy,evening,neutral
"Stunning_aerial_view_of_the_Chukai_coastline_in_Terengganu,_showcasing_clear_waters_and_lush_greenery._1657595.jpg",Chennai,cloudy,evening,energetic
"Vibrant_pink_flowers_and_tropical_foliage_frame_a_serene_ocean_view,_embodying_exotic_coastal_beauty._17212249.jpg",Chennai,rainy,evening,energetic
Vibrant_seascape_featuring_black_lava_rocks_and_clear_blue_waters_in_Mauritius._273760.jpg,Chennai,rainy,evening,peaceful
"Stunning_coastal_cliffside_with_lush_greenery_and_expansive_ocean_view,_captured_under_a_bright_sky._5712969.jpg",Chennai,cloudy,evening,peaceful
Wooden_stairs_descend_to_a_tranquil_beach_framed_by_greenery_and_an_overcast_sky._6775263.jpg,Chennai,sunny,morning,peaceful
"Young_woman_with_long_hair_enjoying_sunlight_outdoors,_eyes_closed,_in_a_natural_setting._9794333.jpg",Chennai,rainy,morning,energetic
"Breathtaking_view_of_blue-turquoise_waters_and_white_sands_at_Esperance_Beach,_WA._27378933.jpg",Chennai,sunny,evening,peaceful
"Two_women_in_swimsuits_relaxing_indoors_with_a_beach_view,_blending_modern_architecture_with_nature._5978903.jpg",Chennai,cloudy,evening,peaceful
Stunning_aerial_view_of_a_tropical_beach_with_turquoise_waters_and_lush_palm_trees._5007457.jpg,Chennai,sunny,afternoon,peaceful
Stunning_aerial_view_of_a_tropical_beach_with_lush_palm_trees_and_crystal-clear_blue_waters._5232331.jpg,Chennai,cloudy,evening,peaceful
A_breathtaking_aerial_view_of_Tayrona_National_Park's_coastline_with_lush_greenery_and_ocean_waves_3660318.jpg,Chennai,sunny,afternoon,peaceful
Explore_a_tranquil_boardwalk_by_the_beach_amid_sand_dunes_in_New_Zealand's_serene_landscape._998950.jpg,Chennai,sunny,morning,peaceful
Relaxing_view_of_Tofino_beach_with_Adirondack_chairs_on_a_sunny_day._1516047.jpg,Chennai,rainy,afternoon,peaceful
Breathtaking_aerial_view_of_powerful_ocean_with_foamy_waves_washing_empty_wide_sandy_beach_surrounded_by_lush_foliage_5707566.jpg,Chennai,sunny,morning,peaceful
"Relaxing_beach_scene_with_palm_trees,_sand,_and_ocean_in_a_sunny_setting._5237383.jpg",Chennai,cloudy,afternoon,peaceful
Tranquil_sunset_over_an_ocean_with_lush_greenery_and_vibrant_flowers_in_the_foreground._89559.jpg,Chennai,rainy,evening,energetic
Aerial_view_of_a_serene_tropical_beach_with_docked_boats_and_lush_greenery_along_the_coastline._1647063.jpg,Chennai,rainy,evening,peaceful
"A_breathtaking_view_of_a_coastal_cliff_with_a_lighthouse,_set_under_a_clear_blue_sky._1545561.jpg",Chennai,cloudy,evening,neutral
"Scenic_view_of_Diamond_Head_Crater_surrounded_by_palm_trees_in_Hawaii,_capturing_tropical_beauty._4321951.jpg",Chennai,cloudy,afternoon,energetic
"A_stunning_view_of_a_tropical_island_with_palm_trees,_clear_blue_waters,_and_a_rainbow_overhead._5232380.jpg",Chennai,cloudy,evening,peaceful
Stunning_aerial_view_of_a_tropical_beach_with_clear_turquoise_water_and_lush_greenery_in_Seychelles._15166730.jpg,Chennai,cloudy,afternoon,peaceful
"A_picturesque_scene_of_a_boat_near_lush_greenery_at_a_beach_in_Phú_Quốc,_Vietnam._6481618.jpg",Chennai,cloudy,morning,peaceful
"A_beautiful_coastal_landscape_with_blue_sea,_lush_pine_trees,_and_distant_mountains_under_a_clear_sky._9119892.jpg",Chennai,cloudy,morning,peaceful
